WSAW,PO/LOT,Comment,Wafer id,TTV,Warp,Bow,Wav ind,Entry Warp 10mm,Entry Warp 20mm,Entry Warp 30mm,Exit Warp 10mm,Exit Warp 20mm,Exit Warp 30mm,Entry wav,Exit wav
2023/6/13 22:46,UHBBMAA,,UHBBMAA0320,8.93,7.56,-0.65,0.5,1.61,2.39,2.63,2.24,3.24,3.82,0.36,0.36
,,,UHBBMAA0520,8.41,7.98,-1.1,0.61,0.95,1.58,1.58,1.49,3.17,3.45,0.32,0.42
,,,UHBBMAA0720,8.28,9.37,-1.3,0.62,-1.12,-1.69,-1.87,2.2,2.57,3.01,0.3,0.25
,,,UHBBMAA0920,8.77,9.41,-1.72,0.66,-1.47,-1.91,-1.91,3.17,3.46,3.46,0.41,0.25
,,,UHBBMAA1108,8.69,9.53,-2.02,0.64,-2.11,-2.12,2.28,4.75,4.79,4.79,0.42,0.54
WSAWB20,TSM-QX-H8B,024*31.6*TM900 * A-558*Wire-01*0009*T017T224*23061202,UHG5YAB0120,9.13,10.66,-0.24,0.77,1.25,-1.38,-2.96,1.44,3.35,4.5,0.32,0.77
2023/6/13 07:21,UHG5YAB,,UHG5YAB0320,8.99,10.9,-0.55,0.52,1.02,-1.93,-3.4,1.66,2.59,3.31,0.2,0.45
,,,UHG5YAB0520,8.75,11.33,-0.75,0.53,-1.47,-2.96,-4.28,2.37,2.37,3.37,0.23,0.37
,,,UHG5YAB0820,8.23,11.49,-0.77,0.62,-2.05,-4.19,-5.56,1.39,1.89,2.33,0.27,0.61
,,,UHG5YAB1020,7.44,9.75,-0.49,0.73,-1.54,-3.08,-4.14,1.8,1.86,1.97,0.25,0.62
,,,UHG5YAB1208,7.42,9.57,-0.86,0.63,-1.55,-2.9,-3.87,4.71,4.71,4.71,0.28,0.58
WSAWB20,NXC-QC-03B,023*30.3*TM900 * A-547*Wire-03*0016*T999T999*23061201,UBIJEAA0120,10.89,8.7,1.3,0.99,2.17,2.58,2.58,0.87,1.56,2.2,0.31,0.36
2023/6/12 15:57,UBIJEAA,,UBIJEAA0320,12.69,7.33,1.17,0.89,1.84,1.98,1.98,0.93,-1.11,1.16,0.17,0.18
,,,UBIJEAA0520,11.97,8.02,1.39,1.19,1.33,1.33,1.33,1.03,-1.66,-1.88,0.2,0.27
,,,UBIJEAA0820,12.01,10.21,2.83,1.5,0.88,-1.33,-2.09,-0.78,-2.52,-2.91,0.22,0.57
,,,UBIJEAA1020,13.72,10.67,0.51,1.25,-0.9,-1.15,-1.4,0.95,-1.73,-3.03,0.31,0.81
,,,UBIJEAA1201,13.39,17,-2.04,1.74,0.92,2.15,2.15,3.77,3.77,-4.32,0.46,0.84
WSAWB20,NXC-QC-03B,022*29*TM900 * A-536*Wire-02*0003*T999T998*23061102,UBIJDAD0120,9.21,10.32,-1.32,0.66,1.13,-1.29,-2.2,0.99,2.98,3.26,0.15,0.54
2023/6/12 00:11,UBIJDAD,,UBIJDAD0320,9.13,10.07,-1.96,0.67,-1.11,-2.08,-3.28,1.01,1.01,1.35,0.21,0.25
,,,UBIJDAD0520,10.5,12.87,-2.59,0.73,-1.4,-2.65,-3.76,1.11,-1.82,-1.86,0.17,0.22
,,,UBIJDAD0720,10.25,12.93,-1.92,0.84,-2.06,-3.23,-4.86,0.81,-1.36,-1.81,0.27,0.27
,,,UBIJDAD0920,11.96,13.21,-1.89,1.02,-1.48,-2.96,-3.73,1.76,-2.02,-3.17,0.3,0.41
,,,UBIJDAD1108,11.31,16.8,-4.56,1.2,-1.78,-2.5,-3.31,2.68,2.71,-2.85,0.33,0.37
WSAWB20,NXC-QC-03B,021*29*TM900 * A-524*Wire-01*0031*T999T999*23061002,UBIJDAJ0120,8.57,13.48,-1.76,0.62,2.65,-3.3,-5.48,-1.71,2.84,3.4,0.39,0.62
2023/6/11 09:14,UBIJDAJ,,UBIJDAJ0320,9.86,14.37,-2.6,0.7,1.56,-3.38,-5.22,1.94,1.95,2.58,0.31,0.29
,,,UBIJDAJ0520,9.45,16.05,-4.13,1.06,-1.81,-3.6,-5.34,2.97,2.97,2.97,0.29,0.35
,,,UBIJDAJ0720,11.88,15.97,-3.19,1.17,-1.25,-4.11,-6.03,-1.9,-2.43,-3.1,0.33,0.3
,,,UBIJDAJ0920,12.97,16.38,-3.23,0.95,-1.15,-3.83,-5.61,-1.77,-3,-4.89,0.43,0.27
