WSAW,PO/LOT,Comment,Wafer id,TTV,Warp,Entry Warp 10mm,Entry Warp 20mm,Entry Warp 30mm,Exit Warp 10mm,Exit Warp 20mm,Exit Warp 30mm,Wav ind,Entry wav,Exit wav,Bow
,,,P54EZAC0420,7.9,9.2,6.56,8.16,8.16,1.33,3.3,3.3,0.94,0.94,0.9,-0.59
,,,P54EZAC0520,7.83,8.84,6.08,7.57,7.57,1.39,4.03,4.03,1.03,1.01,1.03,-1.09
,,,P54EZAC0720,7.82,10.19,5.89,7.14,7.14,2.17,3.23,3.23,0.93,0.93,0.85,-1.36
,,,P54EZAC0808,8.03,8.98,5.7,6.77,6.77,5.03,5.93,6.23,0.81,0.83,0.79,-1.75
WSAWB20,GBS-QY-4JK,053*21.6*TM860 * A-849*Wire-02*0072*T016T208*22121201,P54ETAL0120,7.36,11.84,4.78,11.41,13.36,-0.37,2.69,2.98,1.27,1.27,0.47,-0.59
2022/12/12 20:25,P54ETAL,,P54ETAL0220,7.61,11.42,4.17,11.03,12.94,0.77,2.35,2.39,1.29,1.29,0.41,-0.77
,,,P54ETAL0420,7.7,12.38,4.3,11.82,14.1,0.98,2.35,2.35,1.47,1.47,0.4,-0.58
,,,P54ETAL0520,7.72,11.51,3.95,10.79,12.45,-1.5,2.01,2.01,1.31,1.31,0.47,-1.14
,,,P54ETAL0720,7.56,12.89,3.64,11.35,13.39,1.07,1.97,1.97,1.21,1.21,0.43,-1.22
,,,P54ETAL0808,8.01,12.17,3.12,9.88,12.8,0.87,2.19,2.19,1.38,1.38,0.48,-2.45
WSAWB20,GFF-QY-12E,051*21.4*TM860 * A-831*Wire-03*0114*T037T029*22121003,PAC5XAA0120,7.8,11.38,3.73,5.87,6.64,1.52,4.52,4.52,1.77,1.24,0.82,1.15
2022/12/11 14:10,PAC5XAA,,PAC5XAA0220,7.34,10.26,2.87,5.31,5.94,1.49,4.9,5.28,1.78,1.4,0.8,1.18
