WSAW,PO/LOT,Comment,Wafer id,TTV,Warp,Bow,Wav ind,Entry Warp 10mm,Entry Warp 20mm,Entry Warp 30mm,Exit Warp 10mm,Exit Warp 20mm,Exit Warp 30mm,Entry wav,Exit wav
WSAWB20,INL-QX-V2F,025*30.5*TM860 *New (P1) -804*Wire-03*0043*22061702,PBE1ZAE0120,9.14,8.63,-0.76,1.26,1.92,1.92,-2.69,-1.09,4.54,5.36,0.29,1.26
2022/6/18 02:13,PBE1ZAE,,PBE1ZAE0320,9,8.28,-1.37,0.63,1.97,1.97,-2.13,1.08,1.18,1.91,0.25,0.22
,,,PBE1ZAE0520,8.83,6.93,-0.72,0.73,2.04,2.04,-2.2,1.66,1.66,1.66,0.31,0.34
,,,PBE1ZAE0720,8.52,6.67,-0.41,0.68,1.05,-1.53,-2.24,1.5,1.5,1.86,0.25,0.31
,,,PBE1ZAE0920,8.3,6.18,-0.2,0.57,-1.5,-2.2,-3,1.9,1.9,2.13,0.24,0.33
,,,PBE1ZAE1120,7.53,7.03,-0.85,0.6,1.23,1.85,1.85,5.04,5.78,6.56,0.28,0.6
WSAWB20,DEV-QC-56P,024*27.7*TM860 *New (P1) -794*Wire-02*0018*22061602,PJC4VAG0120,10.07,8.81,-0.87,1.33,2.6,2.6,-2.8,-1.11,5.93,6.7,0.31,1.33
2022/6/17 11:32,PJC4VAG,,PJC4VAG0320,9.09,7.75,-0.47,0.3,2.05,2.05,-2.81,0.77,1.19,1.97,0.28,0.24
,,,PJC4VAG0520,8.98,6.73,-0.66,0.3,1,-1.46,-2.54,0.66,1.39,1.72,0.27,0.26
,,,PJC4VAG0720,8.87,7.24,-0.16,0.32,-0.79,-1.49,-2.3,0.9,1.56,2.15,0.18,0.1
,,,PJC4VAG0920,8.86,6.39,-0.34,0.46,-0.71,-1.43,-2.24,1.04,2.38,2.38,0.17,0.24
,,,PJC4VAG1101,8.45,9,-0.54,0.48,1.13,1.69,1.69,5.78,7.49,7.73,0.23,0.61
WSAWB20,INL-QA-SAK,022*25.2*TM860 *New (P1) -772*Wire-03*0060*22061502,PIFV7AD0120,9.47,8.77,-0.57,1.04,-1.28,-2.91,-4.74,1.58,4.14,4.16,0.39,1.04
2022/6/16 05:08,PIFV7AD,,PIFV7AD0220,9.11,9.52,-0.68,0.63,-1.02,-2.69,-4.74,1.38,3.4,3.61,0.43,0.63
,,,PIFV7AD0420,9.15,8.86,-0.78,0.46,-1.52,-2.8,-5.12,1.82,3.36,3.58,0.38,0.45
,,,PIFV7AD0620,9.73,9.97,-0.52,0.57,-1.84,-3.52,-5.56,1.73,3.04,3.19,0.39,0.57
,,,PIFV7AD0820,8.71,8.03,-0.34,0.64,-2.1,-3.34,-5.24,1.76,2.66,2.9,0.5,0.64
,,,PIFV7AD0920,9.19,9.08,-1.88,0.63,-2.23,-3.46,-5.19,3.62,4.98,4.98,0.52,0.63
WSAWB20,UMC-QC-59K,023*30.7*TM860 *New (P1) -784*Wire-01*0031*22061601,PFD37AH0120,10.15,17.61,-1.7,0.98,-3.55,-7.43,-10.87,-0.94,2.36,2.36,0.5,0.98
2022/6/16 19:39,PFD37AH,,PFD37AH0320,9.39,15.8,-1.85,0.81,-3.64,-7.28,-9.67,0.66,1.33,1.99,0.54,0.81
,,,PFD37AH0520,8.98,13.92,-1.58,0.61,-3.52,-6.64,-9.25,1.03,1.03,1.1,0.45,0.49
,,,PFD37AH0820,8.46,14.07,-1.18,0.49,-4.64,-7.69,-10.31,1.22,1.22,-1.47,0.46,0.36
,,,PFD37AH1020,8.11,11.91,-1.16,0.52,-5.26,-8.15,-10.22,1.32,1.32,-1.39,0.49,0.36
,,,PFD37AH1201,7.58,9.4,-1.98,0.66,-3.42,-5.27,-6.57,5.49,5.49,5.49,0.45,0.51
WSAWB20,INL-QA-SAK,021*25.7*TM860 *New (P1) -759*Wire-02*0003*22061402,PGIVAAD0120,10.3,7.83,-0.26,0.88,1.56,1.56,-3.04,2.3,4.22,4.83,0.31,0.88
2022/6/15 14:22,PGIVAAD,,PGIVAAD0220,9.32,7.23,-0.57,0.74,1.21,-1.37,-2.62,2.03,3.93,4.65,0.29,0.74
,,,PGIVAAD0420,9.66,6.76,-0.8,0.46,0.77,-0.95,-2.38,2.12,2.83,3.59,0.24,0.46
,,,PGIVAAD0620,8.73,7.2,-0.48,0.64,-0.8,-1.04,-2.61,2.05,2.98,3.46,0.31,0.64
