A1_TTV,B1_TTV,C1_TTV,A2_TTV,B2_TTV,C2_TTV,A1_WARP,B1_WARP,C1_WARP,A2_WARP,B2_WARP,C2_WARP,A1_BOW,B1_BOW,C1_BOW,A2_BOW,B2_BOW,C2_BOW,A1_WAVI,B1_WAVI,C1_WAVI,A2_WAVI,B2_WAVI,C2_WAVI
12.42,8.72,11.31,9.88,10.21,,5.88,5.05,6.8,12.42,5.28,,-0.26,-0.63,0.92,-0.57,-0.91,,0.93,0.55,0.79,0.69,0.56,
12.92,8.73,10.98,9.78,10.78,,5.44,4.25,5.69,9.52,4.52,,-0.38,-0.9,0.44,0.12,-0.97,,0.81,0.52,0.64,0.64,0.59,
13.14,8.95,11.28,10.26,11.02,,5.08,5.59,6.57,6.26,5.94,,-1.23,-0.88,0.63,-0.13,-0.68,,0.77,0.57,0.61,0.62,0.57,
13.5,8.67,11.34,11.28,10.74,,5.99,9.24,5.36,7.5,8.04,,-1.43,-1.09,0.17,-0.84,-1.62,,0.77,1.01,0.61,0.78,0.56,
12.05,10.63,11.13,10.16,10.54,,7,4.92,11.16,8.39,8.02,,1.29,0.14,0.01,0.55,-1.9,,0.88,0.39,0.61,0.72,0.73,
12.8,9.19,8.37,10.96,10.53,,10.38,4.76,10.06,9.71,6.34,,1.29,-0.48,-0.19,-2.01,-1.84,,0.79,0.49,0.86,0.77,0.47,
13.22,9.08,7.69,11.94,10.44,,6.6,4.82,10.43,13.45,5.52,,0.98,-0.27,0.1,0.61,-1.69,,0.83,0.68,0.8,0.69,0.4,
13.3,9.11,8.03,12.13,10.13,,7.07,4.25,9.34,5.26,5.49,,0.25,-0.96,0.25,1.1,-1.58,,0.71,0.41,0.67,0.6,0.38,
12.65,9.21,9.02,11.9,9.84,,7.18,6.48,8.11,6.53,5.6,,-0.01,-1.42,-0.7,0.96,-1.88,,0.74,0.41,0.44,0.84,0.46,
12.65,9.06,9.8,12.87,11.03,,7.97,9.72,8.25,6.79,7.45,,-1.04,-1.69,-0.96,0.6,-1.87,,0.76,0.89,0.5,0.7,0.55,
12.42,8.82,10.91,7.24,10.17,,8.22,6.54,10.46,7.65,8.58,,0.43,-0.75,-1.24,0.31,0.09,,0.83,0.58,0.74,0.7,0.54,
12.71,9.05,7.43,8.31,10.15,,7.72,6.13,10.47,8.86,7.29,,0.69,-1.04,0.53,-2.98,0.41,,0.88,0.38,1.01,0.67,0.39,
12.67,9.24,7.77,9.94,10.26,,8.33,6.84,10.23,10.02,7.19,,0.35,-1.18,0.38,-0.03,0.21,,0.75,0.37,0.79,0.94,0.36,
13.6,9.19,8.45,11.65,9.67,,7.94,6.23,8.13,8.92,6.84,,-0.21,-1.34,0.38,-0.64,0.52,,0.71,0.5,0.8,1.29,0.41,
11.7,9.56,10.96,11.6,10.17,,7.17,6.7,7.01,7.56,6.06,,-0.89,-1.87,-0.11,-1.36,0.43,,0.76,0.42,0.55,1.11,0.58,
12.32,9.26,10.8,11.47,9.81,,7.99,8.52,9.02,7.98,10.7,,-1.43,-2.28,-0.58,-1.41,0.42,,0.7,0.72,0.58,1.38,0.59,
12.73,9.61,11.51,9.51,9.31,,6.32,10.05,8.52,9.37,9.59,,2.66,-2.35,-1.15,-2.32,-0.62,,0.82,1.27,0.89,0.61,0.56,
12.76,9.67,13.24,10.15,10.14,,6,8.09,8.47,9.41,8.03,,2.06,-1.93,0.98,0.35,-0.67,,0.94,0.92,1.21,0.77,0.55,
12.64,9.26,11.38,13.14,10.04,,13.16,8.62,7.25,9.53,7.22,,2.03,-2.92,1.41,-0.6,-0.53,,0.81,0.81,1.06,0.92,0.51,
13.12,9.46,11.98,13.07,9.65,,10.02,9.78,6.45,10.66,6.8,,1.7,-2.81,1.56,-0.56,-0.49,,0.65,0.91,1.52,0.95,0.53,
11.94,9.86,7.89,14.39,9.77,,9.02,10.02,5.05,10.9,7.33,,1.38,-2.89,1.12,-1.69,-0.19,,0.69,1.23,0.77,1.12,0.54,
12.07,9.42,9.83,13.79,9.87,,10.2,9.51,8.95,11.33,9.38,,0.22,-3.32,-0.01,-2.44,-0.41,,0.79,0.85,1.1,0.73,0.82,
12.17,8.78,10.17,12.11,10.3,,8.36,,9.47,11.49,7.19,,0.64,,-0.77,-2.7,-0.1,,1,,0.68,0.97,0.79,
12.2,,10.5,13.2,9.48,,5.93,,8.74,9.75,5.64,,0.37,,1.47,-0.6,-0.4,,1.07,,0.57,0.89,0.42,
11.91,,10.42,14.66,9.12,,12.5,,7.7,9.57,4.17,,-0.19,,1.44,-1.2,-0.24,,1.42,,0.68,1.45,0.39,
11.71,,10.66,15.76,9.44,,11.92,,9.28,8.7,4.41,,-0.86,,1.63,-1.39,-0.25,,1.52,,0.64,1.41,0.37,
10.43,,10.41,15.3,8.82,,9.91,,9.57,7.33,4.89,,-1.28,,0.8,-1.81,0.32,,0.97,,0.86,0.59,0.34,
10.58,,11.83,11.86,10.22,,10.09,,7.73,8.02,9.49,,-1.63,,0.15,-2.23,-0.53,,1.13,,0.87,0.55,0.81,
10.76,,11.81,11.83,10.02,,9.38,,9.61,10.21,10.73,,1.86,,-0.27,-3.07,-0.64,,0.95,,0.73,0.5,0.89,
10.56,,11.79,11.57,9.65,,11.05,,7.76,10.67,9.02,,2.32,,0.59,-0.06,-0.59,,0.67,,0.71,0.47,0.76,
10.14,,11.75,11.55,8.83,,8.07,,7.51,10.32,8.47,,1.67,,0.87,-0.65,-0.38,,1.15,,0.7,0.81,0.71,
10.29,,11.97,11.96,9.44,,8.25,,6.85,10.07,8.1,,1.14,,0.69,-1.1,-0.1,,0.99,,0.75,1.14,0.92,
10.57,,11.71,15.16,9.29,,8.12,,5.64,12.87,8.57,,0.5,,0.25,-1.3,0.18,,1.25,,0.9,0.83,1.15,
10.29,,12.96,10.89,8.42,,8.31,,7.23,12.93,9.02,,-0.02,,-0.88,-1.72,-0.22,,1.33,,0.62,0.71,0.89,
9.99,,7.51,11.03,9.56,,8.06,,8.18,13.21,8.2,,1.66,,-1.03,-2.02,-0.42,,1.22,,0.63,0.83,0.6,
10.7,,7.89,11.46,9.27,,9.87,,7.64,13.48,8.02,,1.23,,0.75,-0.24,-0.83,,1.43,,0.65,0.93,0.71,
9.68,,7.75,11.81,9.22,,11.82,,8.7,14.37,6.61,,0.85,,0.27,-0.55,-0.75,,1.19,,0.66,0.93,0.62,
10.27,,7.88,12.22,8.76,,11.32,,8.98,8.98,7.05,,0.54,,0.26,-0.75,-0.3,,0.73,,0.68,0.57,0.91,
9.75,,8.47,11.93,8.69,,12.2,,8.94,9.12,6.6,,0.59,,-0.33,-0.77,-0.61,,0.75,,0.77,0.5,1.11,
9.38,,8.85,10.57,9.16,,13.85,,9.43,9.14,8.36,,0.09,,-0.61,-0.49,-1.3,,0.69,,0.63,0.69,0.73,
9.04,,8.02,10.46,9.44,,13.17,,8.65,9.95,7.04,,0.91,,-0.34,-0.86,-0.29,,0.72,,0.5,0.51,0.85,
9.15,,8.53,10.27,9.55,,12.64,,7.23,9.64,8.51,,0.47,,0.48,1.3,-0.6,,1.04,,0.6,0.47,0.66,
8.87,,8.48,10.16,9.45,,12.65,,7.1,13.61,6.47,,0.55,,0.08,1.17,-0.14,,0.83,,0.67,0.66,0.64,
9.26,,8.35,10.61,8.58,,12.63,,6.79,8,6.66,,-0.02,,-0.68,1.39,-0.16,,0.91,,0.74,0.6,0.86,
8.59,,8.16,10.64,8.06,,11.64,,7.5,8.36,8.9,,0.05,,-0.85,0.51,0.21,,0.81,,0.86,0.5,1.1,
8.97,,8.9,9.04,9.13,,13.58,,7.7,8.52,12.38,,-0.32,,-0.49,-2.04,-0.7,,0.89,,0.62,0.61,1.1,
8.79,,7.92,8.93,9.5,,12.93,,9.26,8.79,9.52,,0.46,,-0.75,-1.32,-1.26,,0.89,,0.43,0.62,0.86,
7.95,,8.03,8.41,9.08,,12.25,,8.13,10.54,7.59,,0.16,,1.18,-1.96,-1.59,,0.88,,0.44,0.66,0.44,
8.15,,7.74,8.28,9.75,,7.81,,7.05,13.71,6.97,,-0.28,,0.86,-2.59,-1.2,,0.94,,0.51,0.64,0.44,
9.07,,8.11,8.77,8.83,,6.62,,9.6,9.32,6.44,,-0.53,,0.69,-1.92,-0.91,,0.6,,0.73,0.77,0.49,
9.97,,8.58,8.69,8.12,,6.42,,10.33,9.28,7.36,,-0.47,,0.07,-1.89,-0.65,,0.6,,0.96,0.52,0.59,
9.97,,9.3,9.13,7.74,,7.13,,9.7,9.04,10.47,,-1.41,,0.32,-1.76,-1.24,,0.5,,0.69,0.53,0.7,
9.05,,11.15,8.99,9.83,,6.37,,10.81,10.94,7.84,,0.33,,0.69,-2.6,-0.55,,0.5,,0.73,0.62,0.92,
9.76,,11.9,8.75,9.52,,8.33,,8.86,11.6,6.74,,-0.29,,0.17,-3.19,-0.34,,0.66,,0.89,0.73,0.51,
9.89,,11.75,8.23,9.41,,7.53,,7.76,9.68,5.41,,-0.07,,-0.21,-3.23,-0.83,,1.15,,0.93,0.63,0.27,
